order_id,customer_id,order_date,product_category,order_value,returned
1000,707.0,2024-01-09,toys,934.0,0
1001,655.0,2024-03-10,toys,,0
1002,272.0,2024-02-28,grocery,5784.0,0
1003,318.0,2024-02-09,grocery,,0
1004,795.0,2024-02-08,toys,5806.0,1
1005,769.0,2024-03-18,books,2043.0,0
1006,754.0,2024-01-08,home,3793.0,0
1007,356.0,2024-03-03,books,4548.0,0
1008,709.0,2024-01-19,home,9841.0,1
1009,260.0,2024-01-09,toys,5417.0,0
1010,344.0,2024-02-17,books,6421.0,0
1011,698.0,2024-03-28,home,7407.0,0
1012,,2024-03-07,electronics,,0
1013,855.0,2024-03-09,toys,9650.0,0
1014,1181.0,2024-03-05,books,6813.0,0
1015,1054.0,,books,8512.0,0
1016,579.0,2024-02-16,home,7541.0,0
1017,982.0,2024-01-12,clothing,6289.0,1
1018,295.0,,home,501.0,0
1019,1057.0,2024-02-10,toys,5918.0,0
1020,586.0,2024-02-15,books,1468.0,0
1021,960.0,2024-02-03,electronics,6110.0,0
1022,1170.0,2024-01-17,books,7072.0,0
1023,903.0,,clothing,5541.0,0
1024,1120.0,2024-03-11,books,3221.0,0
1025,,2024-02-27,home,780.0,0
1026,370.0,2024-02-06,electronics,6775.0,1
1027,826.0,2024-03-15,toys,7042.0,0
1028,740.0,2024-02-19,clothing,4882.0,0
1029,320.0,,grocery,7219.0,0
1030,918.0,2024-02-10,toys,7834.0,0
1031,258.0,2024-01-21,clothing,5221.0,1
1032,1190.0,2024-01-09,home,666.0,0
1033,356.0,2024-02-19,electronics,8728.0,1
1034,645.0,2024-03-20,electronics,4773.0,0
1035,1023.0,2024-01-06,grocery,6788.0,0
1036,714.0,2024-03-18,toys,9125.0,0
1037,943.0,2024-03-15,electronics,3753.0,1
1038,903.0,2024-01-25,clothing,6294.0,1
1039,1148.0,2024-02-26,clothing,392.0,0
1040,663.0,2024-01-15,books,8872.0,0
1041,1178.0,2024-03-09,clothing,778.0,0
1042,716.0,,clothing,5502.0,0
1043,1093.0,2024-02-01,home,,0
1044,,2024-01-07,clothing,549.0,0
1045,332.0,2024-03-28,grocery,4727.0,0
1046,843.0,,toys,9367.0,0
1047,1078.0,2024-03-21,toys,1834.0,0
1048,328.0,2024-03-02,clothing,3063.0,0
1049,1038.0,2024-03-11,toys,2054.0,0
1050,305.0,2024-03-09,grocery,1423.0,0
1051,1071.0,2024-01-18,clothing,2455.0,1
1052,988.0,2024-02-02,toys,5802.0,0
1053,351.0,2024-02-12,books,7848.0,0
1054,926.0,2024-02-14,toys,6964.0,0
1055,316.0,2024-01-04,books,7757.0,0
1056,768.0,2024-02-19,toys,7211.0,0
1057,1123.0,2024-01-14,electronics,3951.0,1
1058,405.0,2024-03-07,books,9021.0,0
1059,373.0,2024-03-02,clothing,1888.0,0
1060,622.0,2024-03-24,clothing,7056.0,0
1061,,2024-03-08,clothing,1285.0,0
1062,248.0,2024-02-02,books,7701.0,0
1063,655.0,2024-03-28,electronics,1052.0,0
1064,459.0,2024-02-06,toys,2317.0,0
1065,324.0,2024-01-30,home,,0
1066,476.0,2024-03-22,toys,,0
1067,,2024-02-03,toys,645.0,0
1068,1115.0,2024-01-07,electronics,,0
1069,1194.0,2024-02-12,electronics,3468.0,0
1070,567.0,2024-03-12,books,7363.0,1
1071,1076.0,,books,9622.0,0
1072,661.0,2024-02-11,clothing,6217.0,0
1073,1112.0,2024-01-12,toys,5172.0,0
1074,373.0,2024-03-02,home,3494.0,0
1075,484.0,2024-02-12,toys,8260.0,0
1076,939.0,2024-01-30,electronics,1249.0,0
1077,420.0,2024-01-21,toys,1465.0,0
1078,1023.0,,clothing,2170.0,0
1079,625.0,2024-03-01,books,,0
1080,603.0,2024-03-25,books,4722.0,0
1081,653.0,2024-02-09,toys,9475.0,1
1082,997.0,2024-01-15,clothing,6572.0,0
1083,205.0,2024-03-15,clothing,3957.0,0
1084,,2024-02-26,books,2271.0,0
1085,979.0,,books,6553.0,0
1086,,2024-01-09,clothing,2679.0,1
1087,1196.0,2024-01-29,clothing,9765.0,0
1088,982.0,2024-03-10,clothing,4880.0,0
1089,728.0,2024-03-15,books,5596.0,0
1090,666.0,2024-02-09,books,,0
1091,588.0,2024-03-13,books,3191.0,0
1092,,2024-03-16,toys,4822.0,0
1093,592.0,2024-02-04,clothing,5412.0,0
1094,772.0,2024-03-21,grocery,2855.0,0
1095,296.0,2024-01-26,toys,734.0,1
1096,517.0,2024-01-22,clothing,2979.0,1
1097,466.0,2024-03-02,clothing,1300.0,0
1098,,2024-02-27,clothing,6820.0,0
1099,702.0,2024-01-13,clothing,269.0,1
1100,916.0,2024-03-15,books,3300.0,0
1101,631.0,2024-01-18,electronics,8864.0,1
1102,350.0,2024-03-13,electronics,5771.0,0
1103,745.0,2024-01-01,books,,0
